id_n,Year,sector_code,Sector_long,Sector_short,QIP_flag,Spl_depr_flag,mintax_flag,Assets,Turnover,Age_2023,Audit_flag,Legal_form,assets,Oper_rev,Sub_rev,Other_rev,Op_wdv,Add_assets,Dispose_assets,Add_assets_spl,profit_before_tax,Donations_grants,non_ded_exp,unrecorded_inc,dec_provision,loss_disposal,other_ded_exp,dividends,capgain_disp_assets,other_inc,charity_cont,int_exp,int_inc,e41,depr,accum_inc,accum_exp,Loss_lag1,Loss_lag2,Loss_lag3,Loss_lag4,Loss_lag5,Loss_lag6,Loss_lag7,Loss_lag8,Loss_lag9,Loss_lag10,weight
69,2022,561,Food and beverage service activities,2,0,0,1,119349311,588305932,3,N,0,119349311,558473803,0,29832129,0,0,0,0,-22559898,0,3739754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38146580,49215664,0,0,0,0,0,0,0,0,1
70,2022,561,Food and beverage service activities,2,0,0,1,5337104527,9980828361,4,N,0,5337104527,9980828361,0,0,361294981,0,0,0,187072421,0,258648185,0,0,0,0,0,0,0,0,0,0,-465541353,169561304,0,0,0,189382053,0,0,0,0,0,0,0,0,1
71,2022,732,Advertising and market research,2,0,0,0,2061286262,0,8,N,0,2061286262,0,0,117990132,0,0,0,0,-6110385444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,2022,475,Sale of computers and electronic equipment,3,0,0,1,3194817122,27537971815,7,N,0,3194817122,27537971815,0,0,75507922,1532170,0,0,786831929,0,21012674,0,0,0,0,0,0,0,0,0,0,0,21012674,0,0,0,0,0,0,0,0,0,0,0,0,1
73,2022,466,Import-export of food and non-alcoholic beverages,2,0,0,0,37612088,0,1,N,0,37612088,0,0,0,0,0,0,0,-6225727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,2022,620,Software publishing,2,0,0,0,68169666,0,2,Y,0,68169666,0,0,0,0,0,0,0,-133797980,0,10553040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96249154,0,0,0,0,0,0,0,0,0,1
75,2022,551,Accommodation,3,0,0,0,1943694252,435321771,7,N,0,1943694252,167645021,267676750,0,20800494,0,0,0,-247597634,0,247367279,0,0,0,0,0,0,0,0,0,0,0,247367279,0,0,225896068,199570151,662550151,316552266,195318216,0,0,0,0,0,1
76,2022,522,Warehousing and support activities for transportation,2,0,0,0,-59511995,0,8,N,1,59511995,0,0,0,0,0,0,0,-10531210,0,491150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9986520,10005740,8345000,17553211,17504000,0,0,0,0,0,1
77,2022,141,Manufacture of wearing apparels,3,0,0,0,6460397071,6433069856,8,Y,0,6460397071,6433069856,0,26734253,1036735118,267697508,59494500,0,774645444,5610506,781130994,0,0,0,340200000,0,26172801,0,0,0,0,0,273886436,0,0,0,0,492582353,0,0,0,0,0,0,0,1
78,2022,465,Import-export of food and non-alcoholic beverages,2,0,0,0,733825598,0,4,N,0,733825598,0,0,0,0,0,0,0,-19862440,0,0,0,0,0,0,0,0,0,0,0,0,-46394302,0,0,0,19748960,19971142,6674200,0,0,0,0,0,0,0,1
